"stop_code","stop_name","address","routes","url"
"1057","Trạm xe bus Đối diện Nhà máy Toyota - Quốc lộ 2","","58","https://xebuyt.net/1018-doi-dien-nha-may-toyota-quoc-lo-2"
"Q1 149","Trạm xe buýt [Q1 149] City plaza, Quận 1","230 Nguyễn Trãi, Quận 1, Tp.Hồ Chí Minh","11, 46","https://xebuyt.net/1019-city-plaza"
"23","Trạm xe bus 40 Cát Linh - Đối diện THCS Cát Linh","","23, 25, 38","https://xebuyt.net/102-40-cat-linh-doi-dien-thcs-cat-linh"
"1059","Trạm xe bus 220 Nguyễn Trãi (Phúc Yên) - Quốc lộ 2","","58","https://xebuyt.net/1020-220-nguyen-trai-phuc-yen-quoc-lo-2"
"Q11 040","Trạm xe buýt [Q11 040] Tòa án nhân dân Q11, Quận 11","150 Ông Ích Khiêm, Quận 11, Tp.Hồ Chí Minh","11, 23, 62, 69","https://xebuyt.net/1020-toa-an-nhan-dan-q11"
"Q1 140","Trạm xe buýt [Q1 140] Nguyễn Trãi, Quận 1","Đối diện số 205 - 207 Nguyễn Văn Cừ, Quận 1, Tp.Hồ Chí Minh","11, 45, 56, 96, 139","https://xebuyt.net/1021-nguyen-trai"
"BX91","Trạm xe buýt [BX91] BÃI XE BUÝT ĐẦM SEN, Quận 11","BÃI XE BUÝT ĐẦM SEN Hòa Bình, Quận 11, Tp.Hồ Chí Minh","11, 15, 38, 64","https://xebuyt.net/1022-bai-xe-buyt-dam-sen"
"1061","Trạm xe bus Cách ngã 4 Nguyễn Trãi 200m - Quốc lộ 2","","58","https://xebuyt.net/1022-cach-nga-4-nguyen-trai-200m-quoc-lo-2"
"Q11 034","Trạm xe buýt [Q11 034] Chợ Phú Thọ, Quận 11","134 Lãnh Binh Thăng, Quận 11, Tp.Hồ Chí Minh","11, 62","https://xebuyt.net/1023-cho-phu-tho"
"58","Trạm xe bus Nhà máy Toyota - Quốc lộ 2","","58","https://xebuyt.net/1023-nha-may-toyota-quoc-lo-2"
"58","Trạm xe bus Nhà máy Honda - Quốc lộ 2","","58","https://xebuyt.net/1024-nha-may-honda-quoc-lo-2"
"Q11 036","Trạm xe buýt [Q11 036] Nhà văn hóa Quận 11, Quận 11","284 Lãnh Binh Thăng, Quận 11, Tp.Hồ Chí Minh","11, 23, 62","https://xebuyt.net/1024-nha-van-hoa-quan-11"
"Q9 214","Trạm xe buýt [Q9 214] Ngã 4 Bình Thái, Quận 9","Kho 71 Xa Lộ Hà Nội, Quận 9, Tp.Hồ Chí Minh","12, 30, 52, 55, 60, 104, 150","https://xebuyt.net/1025-nga-4-binh-thai"
