Số tuyến,Tên tuyến,,,Trạm ,Cự ly,Thời gian hoạt động,Thời gian chuyến,Tuần suất mỗi chuyến,Loại xe,Đơn vị đảm nhiệm,Hình thức thanh toán,Ghi chú
15,"Chợ Phú Định
Bãi xe Chợ Phú Định
Đường 44 Trương Đình Hội (Phạm Đức Sơn), Phường Phú Định",↔,"Đầm Sen
Bãi xe buýt Đầm Sen
Hòa Bình, Phường Bình Thới",Chợ Phú Định(đậu xe trên đường 44 cạnh trường THPT chuyên NK TDTT Nguyễn Thị Định) - Đường 44 - Đường 41 - Phú Định - Trương Đình Hội -An Dương Vương - Hồ Học Lãm - Quốc lộ 1A - Hương lộ 2 - Hòa Bình - BÃI XE BUÝT ĐẦM SEN,"17,1 km",05:00 - 19:00,50 phút,20 – 22 phút,Bahai HC B40 (2013),,Tiền mặt,
16,"Chợ Lớn
Bến xe buýt Chợ Lớn A, Phường Bình Tây",↔,"Bến xe buýt Tân Phú
Trường Chinh, Phường Tây Thạnh",Ga Chợ Lớn B – đường Lê Quang Sung – đường Nguyễn Thị Nhỏ – đường Hồng Bàng – đường Tân Hòa Đông – đường Trương Phước Phan – đường Chiến Lược – đường Đất Mới – đường Hương lộ 2 – đường Mã Lò – đường Tân Kỳ Tân Quý – hẻm 414 Tân Kỳ Tân Quý – đường Bờ bao Tân Thắng – đường Lê Trọng Tấn – đường Dương Đức Hiền – đường Chế Lan Viên – đường Trường Chinh – Bến xe Tân Phú.,"16,8 km",05:00 - 19:00,55 phút,12 – 20 phút,Golden Dragon B55,,"Tiền mặt
FutaPay",
18,"Bến Thành
 Bến xe buýt Sài Gòn, Phường Bến Thành",↔,"Chợ Hiệp Thành
Bến xe buýt Hiệp Thành
Hiệp Thành 17, Phường Tân Thới Hiệp",Bến CV 23/9 -Phạm Ngũ Lão - Yersin - Trần Hưng Đạo - Hàm Nghi - Pasteur - Lê Duẩn - Đinh Tiên Hoàng – Phan Đăng Lưu - Nơ Trang Long - Lê Quang Định - Nguyễn Văn Nghi - Quang Trung - Tô Ký – Nguyễn Ảnh Thủ - HT13 - Chợ Hiệp Thành.,"22,73 km",04:30 - 22:00,75 phút,8 – 15 phút,Kim Long B60 EV,,,Tuyến xe điện
19,,Khu chế xuất Linh Trung ↔,"Đại học Quốc gia
Bến xe buýt khu A, Đại học Quốc gia
Phường Đông Hòa",Bến Công viên 23/9 - Phạm Ngũ Lão - Yersin - Trần Hưng Đạo - Hàm Nghi - Hồ Tùng Mậu – đường nhánh S2 - Tôn Đức Thắng - Hai Bà Trưng - Lê Duẩn - Đinh Tiên Hoàng-Nguyễn Thị Minh Khai - Xô Viết Nghệ Tĩnh - Quốc lộ 13 - Quốc lộ 1 - (Trạm 2) - quay đầu trên cầu vượt - Quốc lộ 1 - đường 621 – (Rẽ trái) - Bến xe buýt A Khu đô thị ĐH Quốc Gia TP.HCM.,"27,43 km",05:00 - 20:15,80 phút,8 – 12 phút,Foton AUV B75 CNG,HTX Vận tải 19/5,Tiền mặt,
20,,↔,"Nhà Bè
Bến xe buýt Bình Khánh
Huỳnh Tấn Phát, Xã Nhà Bè",Bãi xe buýt công viên 23/9 - Phạm Ngũ Lão - Yersin – Trần Hưng Đạo – Hàm Nghi - Tôn Đức Thắng - cầu Khánh Hội - Nguyễn Tất Thành - cầu Tân Thuận 2 - Nguyễn Văn Linh - Huỳnh Tấn Phát - Bến Mũi Nhà Bè.,"16,93 km",04:20 - 21:15,50 phút,5 – 17 phút,Samco City D.65,Công ty Cổ phần Vận tải 26,"Tiền mặt
Thẻ ngân hàng
Ví điện tử",
22,"Bến xe buýt Quận 8
Quốc lộ 50, Phường Bình Đông",↔,"Khu công nghiệp Lê Minh Xuân
Trần Đại Nghĩa, Xã Bình Lợi",Bến xe Quận 8 - Quốc lộ 50 - Nguyễn Văn Linh - Đường vào chợ đầu mối Bình Điền - Chợ đầu mối Bình Điền - quay đầu - Nguyễn Văn Linh - Quốc lộ 1A - Nguyễn Hữu Trí - Cầu Chợ Đệm – Nguyễn Cửu Phú - Thế Lữ - Khu di tích Láng Le Bàu Cò - Láng Le Bàu Cò - Khu Công nghiệp Lê Minh Xuân.,"22,75 km",04:20 - 19:00,65 phút,12 – 26 phút,Samco City I.47,,,
23,"Chợ Lớn
Bến xe buýt Chợ Lớn B, Phường Bình Tây",Ngã 3 Giồng ↔,"Cầu Lớn
Bến xe buýt Cầu Lớn
Nguyễn Văn Bứa, Xã Xuân Thới Sơn",Bến xe Chợ Lớn - Hồng Bàng - Tạ Uyên - Lãnh Binh Thăng - Ông Ích Khiêm - Hòa Bình - Khuông Việt - Âu Cơ - Nguyễn Hồng Đào - Trường Chinh - Phan Văn Hớn - Nguyễn Văn Bứa - Cầu Lớn,"23,45 km",04:00 - 20:30,75 phút,10 – 15 phút,Kim Long B60 EV,,"Tiền mặt
FutaPay",Tuyến xe điện
24,"Bến xe Miền Đông
Đinh Bộ Lĩnh, Phường Bình Thạnh",↔,"Hóc Môn
Bến xe buýt Hóc Môn
Lê Quang Đạo, Xã Xuân Thới Sơn",Bến xe Miền Đông - Đinh Bộ Lĩnh - Bạch Đằng - Lê Quang Định - Nguyễn Văn Nghi - Quang Trung - cầu vượt Quang Trung - Tô Ký - quay đầu (đường TCH 33) - Tô Ký - Quốc lộ 1A - Quốc lộ 22 - Nguyễn Ảnh Thủ - Tô Ký - Lý Thường Kiệt - Quốc lộ 22 - Hương lộ 60B - Bến 19/5.,"27,2 km",,,5 – 12 phút,,,,
25,"Bến xe buýt Quận 8
Quốc lộ 50, Phường Bình Đông",↔,"Khu dân cư Vĩnh Lộc A
Bãi xe khu dân cư Vĩnh Lộc A
Đường số 1, Xã Vĩnh Lộc",Bến xe Quận 8 - Quốc lộ 50 - (cầu Nhị Thiên Đường) - Tùng Thiện Vương - (cầu Chà Và) - Hải Thượng Lãn Ông - (quay đầu) - Hải Thượng Lãn Ông - Lê Quang Sung - Phạm Đình Hổ - Hậu Giang - Kinh Dương Vương - Tên Lửa - Đường số 1 - Đường số 22 - Đường số 19 - Tên Lửa - Trần Văn Giàu (Đường số 7 cũ) - Đường số 40 - Tỉnh lộ 10 - Quốc lộ 1A - Tây Lân - Bến Lội - Liên Ấp 123 - Võ Văn Vân - Hương lộ 80 - Đường vào Khu dân cư Vĩnh Lộc A - Khu dân cư Vĩnh Lộc A.,"22,3 km",04:30 - 21:00,60 phút,10 – 20 phút,,,,
27,"Bến xe buýt Sài Gòn
Phường Bến Thành",Âu Cơ ↔,"Bến xe An Sương
Lê Quang Đạo, Xã Bà Điểm",Bãi xe buýt Công viên 23/9 - Phạm Ngũ Lão - Đỗ Quang Đấu - Lê Lai - Cống Quỳnh - Nguyễn Thị Minh Khai - Lý Thái Tổ - 3 Tháng 2 - Lê Đại Hành - Âu Cơ - Trường Chinh - Quốc Lộ 22 - (quay đầu tại Ngã 3 Công ty Việt Hưng) - Quốc Lộ 22 - Bến xe An Sương,"15,6 km",05:00 - 20:00,55 – 65 phút,8 – 14 phút,Samco City H.68 CNG,,"Tiền mặt
Thẻ ngân hàng",
28,,↔,"Chợ Xuân Thới Thượng
Bãi xe Chợ Xuân Thới Thượng
Xuân Thới Thượng 17, Xã Bà Điểm",Bãi xe buýt Công viên 23/9-Phạm Ngũ Lão -Yersin - Trần Hưng Đạo - Nguyễn Thái Học - Nguyễn Thị Nghĩa - Cách Mạng Tháng 8-Nguyễn Thị Minh Khai-Lê Quý Đôn-Võ Thị Sáu-Trần Quốc Thảo-Lê Văn Sỹ-Lăng Cha Cả-Cộng Hòa-Trường Chinh-Tây Thạnh-CN2-CN1-Lê Trọng Tấn – ngã 5 Vĩnh Lộc – Nguyễn Thị Tú - Vĩnh Lộc - Quách Điêu-Dương Công Khi-Ngã 4 Vĩnh Lộc - Phan Văn Hớn-Đường Tuyến 1 - Chợ Xuân Thới Thượng(vị trí đậu xe trên đường tuyến 1),"26,45 km",04:45 - 20:30,80 phút,10 – 15 phút,Kim Long B30 EV,,"Tiền mặt
FutaPay",Tuyến xe điện
