csv_code,routeName,operator,transportType,totalDistance,vehicleType,operatingTime,baseFare,numTrips,tripTime,frequency
101,Bến xe buýt Chợ Lớn - Chợ Tân Nhựt,"Công ty Cổ phần Xe khách Phương Trang Futabuslines, ĐT: 1900638494",Phổ thông - Có trợ giá,19.85 km,30 chỗ,05:00 - 20:30,"- Vé lượt trợ giá: 6,000 VNĐ - Vé lượt trợ giá HSSV: 3,000 VNĐ - Vé tập: 135,000 VNĐ",134 chuyến/ngày,55 phút,10 - 20 phút
102,Bến xe buýt Sài Gòn - Nguyễn Văn Linh - Bến xe Miền Tây,"Công ty Cổ phần Xe khách Phương Trang Futabuslines, ĐT: 1900638494",Phổ thông - Có trợ giá,32.72 km,40 - 55 chỗ,04:30 - 19:00,"- Vé lượt trợ giá: 7,000 VNĐ - Vé lượt trợ giá HSSV: 3,000 VNĐ - Vé tập: 157,500 VNĐ",116 chuyến/ngày,80 phút,12 - 20 phút
103,Bến xe buýt Chợ Lớn - Bến xe Ngã tư Ga,"Công ty Cổ phần Xe khách Phương Trang Futabuslines, ĐT: 1900638494",Phổ thông - Có trợ giá,24.90 km,30 chỗ,05:00 - 20:30,"- Vé lượt trợ giá: 6,000 VNĐ - Vé lượt trợ giá HSSV: 3,000 VNĐ - Vé miễn: 0 VNĐ - Vé tập: 135,000 VNĐ",142 chuyến/ngày,85 phút,10 - 15 phút
104,Bến xe An Sương - Bến xe buýt Văn Thánh,"Công ty Cổ phần Xe khách Phương Trang Futabuslines, ĐT: 1900638494",Phổ thông - Có trợ giá,16.10 km,60 chỗ,04:30 - 22:00,"- Vé lượt trợ giá: 6,000 VNĐ - Vé lượt trợ giá HSSV: 3,000 VNĐ - Vé miễn: 0 VNĐ - Vé tập: 135,000 VNĐ",210 chuyến/ngày,45 phút,6 - 20 phút
107,Bến xe Củ Chi - Bố Heo,"Công ty Cổ phần Xe khách Phương Trang Futabuslines, ĐT: 1900638494",Phổ thông - Có trợ giá,15.60 km,55 chỗ,04:45 - 20:00,"- Vé lượt trợ giá: 6,000 VNĐ - Vé lượt trợ giá HSSV: 3,000 VNĐ - Vé miễn: 0 VNĐ - Vé tập: 135,000 VNĐ",84 chuyến/ngày,30 phút,15 - 30 phút
109,Bến xe buýt Sài Gòn - Sân bay Tân Sơn Nhất,"Công ty Cổ phần Xe khách Phương Trang Futabuslines, ĐT: 1900638494",Phổ thông - Có trợ giá,9.30 km,30 chỗ,05:30 - 22:15,"- Vé lượt không trợ giá: 15,000 VNĐ",48 chuyến/ngày,45 phút,40 - 45 phút
110,Hiệp Phước - Phước Lộc,"Công ty Cổ phần vận tải 26, ĐT: 028.6683.2179",Phổ thông - Có trợ giá,26.30 km,40 chỗ,05:00 - 19:45,"- Vé lượt trợ giá: 7,000 VNĐ - Vé lượt trợ giá HSSV: 3,000 VNĐ - Vé miễn: 0 VNĐ - Vé tập: 157,500 VNĐ",100 chuyến/ngày,65 phút,16 - 21 phút
119,San Bay Tan Son Nhat Ben Xe Mien Tay,,Phổ thông - Có trợ giá,,,,,,,
120,Tuyen Xe Buyt Vong Khu Vuc Trung Tam,,Phổ thông - Có trợ giá,,,,,,,
122,Bến xe An Sương - Tân Quy,"Hợp tác xã vận tải 19/5, ĐT: 18001557",Phổ thông - Có trợ giá,19.76 km,60 chỗ,04:45 - 19:30,"- Vé lượt trợ giá: 6,000 VNĐ - Vé lượt trợ giá HSSV: 3,000 VNĐ - Vé miễn: 0 VNĐ - Vé tập: 135,000 VNĐ",250 chuyến/ngày,50 phút,6 - 12 phút
123,Phu My Hung Khu H Quan 1,,Phổ thông - Có trợ giá,,,,,,,
124,Phu My Hung Khu S Quan 1,,Phổ thông - Có trợ giá,,,,,,,
126,Bến xe Củ Chi - Bình Mỹ,"Công ty Cổ phần Xe khách Phương Trang Futabuslines, ĐT: 1900638494",Phổ thông - Có trợ giá,19.40 km,30 chỗ,04:45 - 20:00,"- Vé lượt trợ giá: 6,000 VNĐ - Vé lượt trợ giá HSSV: 3,000 VNĐ - Vé miễn: 0 VNĐ - Vé tập: 135,000 VNĐ",180 chuyến/ngày,40 phút,8 - 15 phút
127,An Thới Đông - Ngã ba Bà Xán,,Phổ thông - Có trợ giá,,,,,,,
128,Tân Điền - An Nghĩa,,Phổ thông - Có trợ giá,,,,,,,
139,Bến xe Miền Tây - Khu Tái Định Cư Phú Mỹ,"Công ty Cổ phần Xe khách Sài Gòn, ĐT: (028)39505505",Phổ thông - Có trợ giá,22.00 km,47 chỗ,04:45 - 19:00,"- Vé lượt trợ giá: 6,000 VNĐ - Vé lượt trợ giá HSSV: 3,000 VNĐ - Vé miễn: 0 VNĐ - Vé tập: 135,000 VNĐ",120 chuyến/ngày,60 - 70 phút,10 - 20 phút
140,Bến xe buýt Sài Gòn - Phạm Thế Hiển - Khu dân cư Phú Lợi,"Công ty Cổ phần vận tải 26, ĐT: 028.6683.2179",Phổ thông - Có trợ giá,21.40 km,40 chỗ,05:00 - 19:30,"- Vé lượt trợ giá: 6,000 VNĐ - Vé lượt trợ giá HSSV: 3,000 VNĐ - Vé miễn: 0 VNĐ - Vé tập: 135,000 VNĐ",80 chuyến/ngày,70 phút,20 - 30 phút
141,Khu du lịch BCR - Long Trường - Khu chế xuất Linh Trung II,"Công ty Cổ phần Xe khách Phương Trang Futabuslines, ĐT: 1900638494",Phổ thông - Có trợ giá,21.80 km,55 chỗ,05:00 - 19:30,"- Vé lượt trợ giá: 6,000 VNĐ - Vé lượt trợ giá HSSV: 3,000 VNĐ - Vé miễn: 0 VNĐ - Vé tập: 135,000 VNĐ",198 chuyến/ngày,65 phút,7 - 15 phút
144,Ben Xe Mien Tay Cho Lon Cv Dam Sen Cu Xa Nhieu Loc,(08) 38.758.875,Phổ thông - Có trợ giá,"14,8",26 - 47 chỗ,05:30 - 18:30,,120 chuyến/ngày,55 phút,12 - 15 phút
145,Bến xe buýt Chợ Lớn - Chợ Hiệp Thành,"Công ty Cổ phần Xe khách Phương Trang Futabuslines, ĐT: 1900638494",Phổ thông - Có trợ giá,23.00 km,60 chỗ,04:30 - 20:30,"- Vé lượt trợ giá: 6,000 VNĐ - Vé lượt trợ giá HSSV: 3,000 VNĐ - Vé miễn: 0 VNĐ - Vé tập: 135,000 VNĐ",134 chuyến/ngày,70 phút,12 - 15 phút
146,Bến xe Miền Đông - Chợ Hiệp Thành,"Công ty Cổ phần Xe khách Phương Trang Futabuslines, ĐT: 1900638494",Phổ thông - Có trợ giá,19.00 km,30 chỗ,04:45 - 20:30,"- Vé lượt trợ giá: 6,000 VNĐ - Vé lượt trợ giá HSSV: 3,000 VNĐ - Vé miễn: 0 VNĐ - Vé tập: 135,000 VNĐ",142 chuyến/ngày,65 phút,10 - 15 phút
148,Bến xe Miền Tây - Gò Vấp,"Công ty Cổ phần Xe khách Sài Gòn, ĐT: (028)39505505",Phổ thông - Có trợ giá,16.70 km,51 chỗ,04:45 - 19:30,"- Vé lượt trợ giá: 6,000 VNĐ - Vé lượt trợ giá HSSV: 3,000 VNĐ - Vé miễn: 0 VNĐ - Vé tập: 135,000 VNĐ",128 chuyến/ngày,50 - 65 phút,12 - 18 phút
149,Cong Vien 23 9 Khu Dan Cu BìNh Hung Hoa,Đt: (08) 38.441.224,Phổ thông - Có trợ giá,"19,5",12 - 40 chỗ,05:15 - 19:00,,130 chuyến/ngày,60 phút,12 - 20 phút
150,Bến xe buýt Chợ Lớn - Bến xe Miền Đông mới,"Công ty TNHH Vận tải sinh thái Vinbus, ĐT: 1900 866 663",Phổ thông - Có trợ giá,26.60 km,68 chỗ,04:00 - 22:00,"- Vé lượt trợ giá: 7,000 VNĐ - Vé lượt trợ giá HSSV: 3,000 VNĐ - Vé miễn: 0 VNĐ - Vé tập: 157,500 VNĐ",180 chuyến/ngày,70 phút,10 - 12 phút
151,Bến xe Miền Tây - Bến xe An Sương,"Công ty Cổ phần Xe khách Phương Trang Futabuslines, ĐT: 1900638494",Phổ thông - Có trợ giá,17.20 km,55 chỗ,04:00 - 20:00,"- Vé lượt trợ giá: 6,000 VNĐ - Vé lượt trợ giá HSSV: 3,000 VNĐ - Vé miễn: 0 VNĐ - Vé tập: 135,000 VNĐ",216 chuyến/ngày,50 phút,7 - 15 phút
152,Khu dân cư Trung Sơn - Bến Thành - Sân bay Tân Sơn Nhất,"Công ty TNHH Du lịch, Dịch vụ Xây dựng Bảo Yến, ĐT: 028.3776.3777",Phổ thông - Có trợ giá,14.55 km,40 - 50 chỗ,05:15 - 19:00,"- Vé lượt trợ giá: 5,000 VNĐ - Vé lượt trợ giá HSSV: 3,000 VNĐ - Vé tập: 112,500 VNĐ",120 chuyến/ngày,50 - 55 phút,12 - 18 phút
153,Bến tàu thủy Bình An – Đường Liên Phường,"Công ty Cổ phần Xe khách Phương Trang Futabuslines, ĐT: 1900638494",Phổ thông - Có trợ giá,16.70 km,30 chỗ,05:00 - 22:00,"- Vé lượt trợ giá: 6,000 VNĐ - Vé lượt trợ giá HSSV: 3,000 VNĐ - Vé miễn: 0 VNĐ - Vé tập: 135,000 VNĐ",158 chuyến/ngày,55 phút,10 - 15 phút
154,Trường Đại học Quản lý và Công nghệ -  Masteri An Phú,"Công ty Cổ phần Xe khách Phương Trang Futabuslines, ĐT: 1900638494",Phổ thông - Có trợ giá,16.85 km,30 chỗ,05:00 - 22:05,"- Vé lượt trợ giá: 6,000 VNĐ - Vé lượt trợ giá HSSV: 3,000 VNĐ - Vé miễn: 0 VNĐ - Vé tập: 135,000 VNĐ",158 chuyến/ngày,55 phút,10 - 15 phút
155,Ga Bến Thành - Nhà hát Thành phố,"Công ty Cổ phần Xe khách Phương Trang Futabuslines, ĐT: 1900638494",Phổ thông - Có trợ giá,6.40 km,30 chỗ,05:00 - 22:00,"- Vé lượt trợ giá: 5,000 VNĐ - Vé lượt trợ giá HSSV: 3,000 VNĐ - Vé miễn: 0 VNĐ - Vé tập: 112,500 VNĐ",57 chuyến/ngày,35 phút,15 - 20 phút
157,Bến xe buýt Văn Thánh -  Khu dân cư Thạnh Mỹ Lợi,"Công ty Cổ phần Xe khách Phương Trang Futabuslines, ĐT: 1900638494",Phổ thông - Có trợ giá,15.50 km,30 chỗ,05:00 - 22:05,"- Vé lượt trợ giá: 6,000 VNĐ - Vé lượt trợ giá HSSV: 3,000 VNĐ - Vé miễn: 0 VNĐ - Vé tập: 135,000 VNĐ",158 chuyến/ngày,55 phút,10 - 15 phút
158,Bến xe buýt Văn Thánh - Cư xá Thanh Đa,"Công ty Cổ phần Xe khách Phương Trang Futabuslines, ĐT: 1900638494",Phổ thông - Có trợ giá,9.80 km,30 chỗ,05:00 - 22:00,"- Vé lượt trợ giá: 5,000 VNĐ - Vé lượt trợ giá HSSV: 3,000 VNĐ - Vé miễn: 0 VNĐ - Vé tập: 112,500 VNĐ",79 chuyến/ngày,25 - 30 phút,10 - 15 phút
159,Chung cư Ngô Tất Tố - Ngã tư Hàng Xanh,"Công ty Cổ phần Xe khách Phương Trang Futabuslines, ĐT: 1900638494",Phổ thông - Có trợ giá,5.20 km,30 chỗ,05:00 - 22:00,"- Vé lượt trợ giá: 5,000 VNĐ - Vé lượt trợ giá HSSV: 3,000 VNĐ - Vé miễn: 0 VNĐ - Vé tập: 112,500 VNĐ",79 chuyến/ngày,20 phút,10 - 15 phút
160,Ga Văn Thánh - Vinhomes Central Park,"Công ty Cổ phần Xe khách Phương Trang Futabuslines, ĐT: 1900638494",Phổ thông - Có trợ giá,4.10 km,30 chỗ,05:00 - 22:00,"- Vé lượt trợ giá: 5,000 VNĐ - Vé lượt trợ giá HSSV: 3,000 VNĐ - Vé miễn: 0 VNĐ - Vé tập: 112,500 VNĐ",57 chuyến/ngày,15 phút,15 - 20 phút
161,Bến xe buýt Văn Thánh – Bến xe Ngã tư Ga,"Công ty Cổ phần Xe khách Phương Trang Futabuslines, ĐT: 1900638494",Phổ thông - Có trợ giá,15.25 km,60 chỗ,05:00 - 22:05,"- Vé lượt trợ giá: 6,000 VNĐ - Vé lượt trợ giá HSSV: 3,000 VNĐ - Vé miễn: 0 VNĐ - Vé tập: 135,000 VNĐ",180 chuyến/ngày,50 - 55 phút,8 - 15 phút
165,Đại học Nông Lâm - Khu Công nghệ cao,"Công ty Cổ phần Xe khách Phương Trang Futabuslines, ĐT: 1900638494",Phổ thông - Có trợ giá,19.80 km,30 chỗ,05:00 - 22:00,"- Vé lượt trợ giá: 6,000 VNĐ - Vé lượt trợ giá HSSV: 3,000 VNĐ - Vé miễn: 0 VNĐ - Vé tập: 135,000 VNĐ",79 chuyến/ngày,60 phút,10 - 15 phút
166,Đại học Quốc Gia - Suối Tiên,,Phổ thông - Có trợ giá,,,,,,,
171,Bến xe Phú Chánh - Trung tâm hành chính Bình Dương - Bến Thành,"Công ty Cổ phần Xe khách Phương Trang Futabuslines, ĐT: 1900638494",Phổ thông - Có trợ giá,46.00 km,16 chỗ,05:30 - 19:25,"- Vé lượt không trợ giá: 15,000 VNĐ - Vé lượt không trợ giá: 30,000 VNĐ - Vé lượt không trợ giá: 70,000 VNĐ",42 chuyến/ngày,100 phút,10 - 120 phút
172,Bến xe Vũng Tàu - Trung tâm hành chính Bà Rịa Vũng Tàu -  Bến Thành,"Công ty Cổ phần Xe khách Phương Trang Futabuslines, ĐT: 1900638494",Phổ thông - Có trợ giá,97.00 km,16 chỗ,04:30 - 19:45,"- Vé lượt không trợ giá: 110,000 VNĐ - Vé lượt không trợ giá: 30,000 VNĐ - Vé lượt không trợ giá: 50,000 VNĐ - Vé lượt không trợ giá: 80,000 VNĐ",38 chuyến/ngày,130 phút,10 phút
156D,Ga Bến Thành - Ga Hòa Hưng - Bệnh viện Mắt TP.HCM,"Công ty Cổ phần Xe khách Phương Trang Futabuslines, ĐT: 1900638494",Phổ thông - Có trợ giá,7.35 km,30 chỗ,05:05 - 22:05,"- Vé lượt trợ giá: 5,000 VNĐ - Vé lượt trợ giá HSSV: 3,000 VNĐ - Vé miễn: 0 VNĐ - Vé tập: 112,500 VNĐ",57 chuyến/ngày,30 phút,15 - 20 phút
156V,Ga Bến Thành - Đại học Sài Gòn Cơ sở 3 - Ga Hòa Hưng,"Công ty Cổ phần Xe khách Phương Trang Futabuslines, ĐT: 1900638494",Phổ thông - Có trợ giá,7.35 km,30 chỗ,05:00 - 22:00,"- Vé lượt trợ giá: 5,000 VNĐ - Vé lượt trợ giá HSSV: 3,000 VNĐ - Vé miễn: 0 VNĐ - Vé tập: 112,500 VNĐ",57 chuyến/ngày,30 phút,15 - 20 phút
162D,Ga Metro Bình Thái - Chung cư Man Thiện - Trường Trung học cơ sở Hoa Lư,"Công ty Cổ phần Xe khách Phương Trang Futabuslines, ĐT: 1900638494",Phổ thông - Có trợ giá,9.50 km,30 chỗ,05:00 - 22:00,"- Vé lượt trợ giá: 5,000 VNĐ - Vé lượt trợ giá HSSV: 3,000 VNĐ - Vé miễn: 0 VNĐ - Vé tập: 112,500 VNĐ",79 chuyến/ngày,30 phút,10 - 15 phút
162V,Ga Metro Bình Thái - Trường Trung học cơ sở Hoa Lư - Chung cư Man Thiện,"Công ty Cổ phần Xe khách Phương Trang Futabuslines, ĐT: 1900638494",Phổ thông - Có trợ giá,9.50 km,30 chỗ,05:05 - 22:05,"- Vé lượt trợ giá: 5,000 VNĐ - Vé lượt trợ giá HSSV: 3,000 VNĐ - Vé miễn: 0 VNĐ - Vé tập: 112,500 VNĐ",79 chuyến/ngày,30 phút,10 - 15 phút
163D,Ga Bình Thái - Trường Trung học cơ sở Phước Bình - Cao đẳng Công Thương,"Công ty Cổ phần Xe khách Phương Trang Futabuslines, ĐT: 1900638494",Phổ thông - Có trợ giá,8.00 km,30 chỗ,05:00 - 22:00,"- Vé lượt trợ giá: 5,000 VNĐ - Vé lượt trợ giá HSSV: 3,000 VNĐ - Vé miễn: 0 VNĐ - Vé tập: 112,500 VNĐ",79 chuyến/ngày,25 phút,10 - 15 phút
163V,Ga Bình Thái - Cao đẳng Công Thương - Trường Trung học cơ sở Phước Bình,"Công ty Cổ phần Xe khách Phương Trang Futabuslines, ĐT: 1900638494",Phổ thông - Có trợ giá,8.00 km,30 chỗ,05:00 - 22:00,"- Vé lượt trợ giá: 5,000 VNĐ - Vé lượt trợ giá HSSV: 3,000 VNĐ - Vé miễn: 0 VNĐ - Vé tập: 112,500 VNĐ",79 chuyến/ngày,25 phút,10 - 15 phút
164D,Đại học Nông Lâm - Ga Metro Khu Công nghệ cao - Chung cư Topaz,"Công ty Cổ phần Xe khách Phương Trang Futabuslines, ĐT: 1900638494",Phổ thông - Có trợ giá,10.40 km,30 chỗ,05:00 - 22:00,"- Vé lượt trợ giá: 5,000 VNĐ - Vé lượt trợ giá HSSV: 3,000 VNĐ - Vé miễn: 0 VNĐ - Vé tập: 112,500 VNĐ",79 chuyến/ngày,35 phút,10 - 15 phút
164V,Đại học Nông Lâm - Chung cư Topaz - Ga Metro Khu Công nghệ cao,"Công ty Cổ phần Xe khách Phương Trang Futabuslines, ĐT: 1900638494",Phổ thông - Có trợ giá,10.40 km,30 chỗ,05:00 - 22:00,"- Vé lượt trợ giá: 5,000 VNĐ - Vé lượt trợ giá HSSV: 3,000 VNĐ - Vé miễn: 0 VNĐ - Vé tập: 112,500 VNĐ",79 chuyến/ngày,35 phút,10 - 15 phút
167D,Đại học Nông Lâm - Khu Chế xuất Linh Trung 1 - Ga Metro Khu Công nghệ cao,,Phổ thông - Có trợ giá,,,,,,,
167V,Đại học Nông Lâm - Ga Metro Khu Công nghệ cao - Khu Chế xuất Linh Trung 1,,Phổ thông - Có trợ giá,,,,,,,
168D,Đại học Ngân Hàng - Ga Thủ Đức - Nhà Thiếu nhi Thành phố Thủ Đức,"Công ty Cổ phần Xe khách Phương Trang Futabuslines, ĐT: 1900638494",Phổ thông - Có trợ giá,5.90 km,30 chỗ,05:00 - 22:00,"- Vé lượt trợ giá: 5,000 VNĐ - Vé lượt trợ giá HSSV: 3,000 VNĐ - Vé miễn: 0 VNĐ - Vé tập: 112,500 VNĐ",79 chuyến/ngày,25 phút,10 - 15 phút
168V,Đại học Ngân hàng - Nhà Thiếu nhi Thành phố Thủ Đức - Ga Thủ Đức,"Công ty Cổ phần Xe khách Phương Trang Futabuslines, ĐT: 1900638494",Phổ thông - Có trợ giá,5.90 km,30 chỗ,05:05 - 22:05,"- Vé lượt trợ giá: 5,000 VNĐ - Vé lượt trợ giá HSSV: 3,000 VNĐ - Vé tập: 112,500 VNĐ",79 chuyến/ngày,25 phút,10 - 15 phút
169D,Ga Metro Bình Thái - Vincom Thủ Đức - Cảng Phúc Long,"Công ty Cổ phần Xe khách Phương Trang Futabuslines, ĐT: 1900638494",Phổ thông - Có trợ giá,7.90 km,30 chỗ,05:05 - 22:05,"- Vé lượt trợ giá: 5,000 VNĐ - Vé lượt trợ giá HSSV: 3,000 VNĐ - Vé miễn: 0 VNĐ - Vé tập: 112,500 VNĐ",79 chuyến/ngày,25 phút,10 - 15 phút
169V,Ga Metro Bình Thái - Cảng Phúc Long - Vincom Thủ Đức,"Công ty Cổ phần Xe khách Phương Trang Futabuslines, ĐT: 1900638494",Phổ thông - Có trợ giá,7.90 km,30 chỗ,05:00 - 22:00,"- Vé lượt trợ giá: 5,000 VNĐ - Vé lượt trợ giá HSSV: 3,000 VNĐ - Vé miễn: 0 VNĐ - Vé tập: 112,500 VNĐ",79 chuyến/ngày,25 phút,10 - 15 phút
60-1,Bến xe Miền Tây - Bến xe Biên Hòa,"Công ty Cổ phần Xe khách Phương Trang Futabuslines, ĐT: 1900638494",Phổ thông - Không trợ giá,62.20 km,40 chỗ,04:45 - 18:30,"- Vé lượt không trợ giá: 10,000 VNĐ - Vé lượt không trợ giá: 20,000 VNĐ - Vé lượt không trợ giá: 30,000 VNĐ - Vé lượt không trợ giá: 45,000 VNĐ - Vé lượt không trợ giá: 7,000 VNĐ - Vé miễn: 0 VNĐ",54 chuyến/ngày,130 phút,20 - 40 phút
60-2,Đại học Nông Lâm - Bến xe Phú Túc,"Hợp tác xã vận tải xe buýt và du lịch Quyết Tiến, ĐT: 028.6678.9396 Hợp tác xã vận tải du lịch số 22, ĐT: (028) 3716 0266 HTX DVVT Thống Nhất",Phổ thông - Không trợ giá,71.00 km,40 - 55 chỗ,05:00 - 18:30,"- Vé lượt không trợ giá: 15,000 VNĐ - Vé lượt không trợ giá: 20,000 VNĐ - Vé lượt không trợ giá: 25,000 VNĐ - Vé lượt không trợ giá: 30,000 VNĐ - Vé lượt không trợ giá: 40,000 VNĐ - Vé lượt không trợ giá HSSV: 10,000 VNĐ",72 chuyến/ngày,124 phút,10 - 30 phút
60-3,Bến xe Miền Đông (cũ) - Khu Công nghiệp Nhơn Trạch,"Công ty Cổ phần Xe khách Phương Trang Futabuslines, ĐT: 1900638494",Phổ thông - Không trợ giá,56.00 km,24 chỗ,04:45 - 18:00,"- Vé lượt không trợ giá: 10,000 VNĐ - Vé lượt không trợ giá: 20,000 VNĐ - Vé lượt không trợ giá: 30,000 VNĐ - Vé lượt không trợ giá: 45,000 VNĐ - Vé lượt không trợ giá: 7,000 VNĐ - Vé lượt không trợ giá HSSV: 5,000 VNĐ",60 chuyến/ngày,110 phút,25 - 30 phút
60-5,Bến xe buýt Đại học Quốc Gia – Bến xe Biên Hòa,"Công ty Cổ phần Xe khách Phương Trang Futabuslines, ĐT: 1900638494",Phổ thông - Không trợ giá,16.00 km,24 - 55 chỗ,05:00 - 19:00,"- Vé lượt không trợ giá: 15,000 VNĐ - Vé lượt không trợ giá: 8,000 VNĐ - Vé lượt không trợ giá HSSV: 5,000 VNĐ - Vé lượt trợ giá HSSV: 3,000 VNĐ",76 chuyến/ngày,40 phút,18 - 25 phút
60-7,Bến xe Miền Đông mới - Bến xe Biên Hòa,"Công ty Cổ phần Xe khách Phương Trang Futabuslines, ĐT: 1900638494",Phổ thông - Không trợ giá,21.40 km,24 chỗ,04:30 - 20:30,"- Vé lượt không trợ giá: 10,000 VNĐ - Vé lượt không trợ giá: 15,000 VNĐ - Vé lượt không trợ giá: 20,000 VNĐ - Vé lượt không trợ giá: 7,000 VNĐ - Vé lượt không trợ giá HSSV: 5,000 VNĐ",130 chuyến/ngày,50 phút,10 - 20 phút
61-05,Thủ Dầu Một - Đại học Quốc gia - Bến xe Miền Đông mới,"Công ty CP Phương Trinh, ĐT: (0274)3.54.54.5 Công ty TNHH Phúc Gia Khang",Phổ thông - Không trợ giá,25.00 km,40 chỗ,05:30 - 18:00,"- Vé lượt không trợ giá: 15,000 VNĐ - Vé lượt không trợ giá: 25,000 VNĐ - Vé lượt không trợ giá: 35,000 VNĐ",26 chuyến/ngày,60 - 65 phút,30 - 90 phút
61-3,Bến xe An Sương - Thủ Dầu Một,"Hợp tác xã vận tải du lịch số 22, ĐT: (028) 3716 0266",Phổ thông - Không trợ giá,34.00 km,47 chỗ,06:00 - 16:30,"- Vé lượt không trợ giá: 15,000 VNĐ - Vé lượt không trợ giá: 20,000 VNĐ - Vé lượt không trợ giá: 25,000 VNĐ",16 chuyến/ngày,75 phút,90 phút
61-77,Thành phố mới - Thành phố Dĩ An - Bến xe Miền Đông mới,"Công ty TNHH Xe buýt Becamex Tokyu, ĐT: (0274) 222 0555",Phổ thông - Không trợ giá,37.20 km,52 - 80 chỗ,,"- Vé lượt không trợ giá: 15,000 VNĐ - Vé lượt không trợ giá HSSV: 5,000 VNĐ",,phút,phút
61-8,Thủ Dầu Một - Bến xe Miền Đông,"Công ty CP Phương Trinh, ĐT: (0274)3.54.54.5",Phổ thông - Không trợ giá,22.00 km,35 chỗ,05:30 - 19:30,"- Vé lượt không trợ giá: 15,000 VNĐ - Vé lượt không trợ giá: 30,000 VNĐ",80 chuyến/ngày,55 - 60 phút,15 - 60 phút
61-9,Thủ Dầu Một - Suối Tiên - Bến xe Miền Đông Mới,"Công ty CP VT Bình Dương, ĐT: (0274) 3822549",Phổ thông - Không trợ giá,33.00 km,40 - 50 chỗ,05:40 - 17:20,"- Vé lượt không trợ giá: 20,000 VNĐ - Vé lượt không trợ giá: 30,000 VNĐ",22 chuyến/ngày,80 phút,60 - 100 phút
62-1,Bến xe buýt Chợ Lớn  - Bến xe Tân Trụ,"Công ty Cổ phần vận tải Thành phố, ĐT: (028)39225033 Hợp tác xã vận tải liên tỉnh và du lịch Việt Thắng, ĐT: (028)38.535.935",Phổ thông - Không trợ giá,47.50 km,40 - 64 chỗ,05:10 - 18:30,"- Vé lượt không trợ giá: 10,000 VNĐ - Vé lượt không trợ giá: 30,000 VNĐ - Vé lượt không trợ giá: 35,000 VNĐ",50 chuyến/ngày,75 phút,24 - 60 phút
62-10,Bến xe buýt Chợ Lớn - Thanh Vĩnh Đông,"Hợp tác xã vận tải liên tỉnh và du lịch Việt Thắng, ĐT: (028)38.535.935 Hợp tác xã vận tải Châu Thành, ĐT: (072)3672244",Phổ thông - Không trợ giá,69.00 km,47 - 65 chỗ,03:53 - 18:23,"- Vé lượt không trợ giá: 15,000 VNĐ - Vé lượt không trợ giá: 28,000 VNĐ - Vé lượt không trợ giá: 42,000 VNĐ - Vé lượt trợ giá: 8,000 VNĐ",50 chuyến/ngày,140 phút,30 phút
62-11,Bến xe buýt Quận 8 - Tân Tập,Minh hiếu HTX Đồng Tâm,Phổ thông - Không trợ giá,36.40 km,27 - 60 chỗ,05:15 - 16:30,"- Vé lượt không trợ giá: 10,000 VNĐ - Vé lượt không trợ giá: 18,000 VNĐ - Vé lượt không trợ giá: 32,000 VNĐ",8 chuyến/ngày,90 phút,150 phút
62-2,Bến xe buýt Chợ Lớn - Ngã ba Tân Lân,"Hợp tác xã vận tải liên tỉnh và du lịch Việt Thắng, ĐT: (028)38.535.935 Thanh Bình-Long An",Phổ thông - Không trợ giá,34.00 km,26 - 55 chỗ,03:50 - 18:55,"- Vé lượt không trợ giá: 10,000 VNĐ - Vé lượt không trợ giá: 18,000 VNĐ - Vé lượt không trợ giá: 22,000 VNĐ - Vé lượt không trợ giá: 8,000 VNĐ - Vé lượt trợ giá: 5,000 VNĐ",78 chuyến/ngày,75 phút,15 - 30 phút
62-3,Bến xe Củ Chi - Bến xe Hậu Nghĩa,"Hợp tác xã vận tải 19/5, ĐT: 18001557",Phổ thông - Không trợ giá,16.00 km,40 - 47 chỗ,04:30 - 18:30,"- Vé lượt không trợ giá: 10,000 VNĐ - Vé lượt không trợ giá: 20,000 VNĐ - Vé lượt không trợ giá HSSV: 10,000 VNĐ - Vé lượt không trợ giá HSSV: 5,000 VNĐ",60 chuyến/ngày,35 phút,25 - 30 phút
62-5,Bến xe An Sương - Bến xe Hậu Nghĩa,"Hợp tác xã vận tải 19/5, ĐT: 18001557",Phổ thông - Không trợ giá,31.76 km,47 chỗ,04:00 - 19:30,"- Vé lượt không trợ giá: 10,000 VNĐ - Vé lượt không trợ giá: 15,000 VNĐ - Vé lượt không trợ giá: 20,000 VNĐ - Vé lượt không trợ giá: 25,000 VNĐ",94 chuyến/ngày,70 phút,15 - 25 phút
62-6,Bến xe buýt Chợ Lớn - Bến xe Hậu Nghĩa,"Hợp tác xã Xe khách liên tỉnh Miền Tây, ĐT: (028)38750193 Hợp tác xã xe DL và VT số 4, ĐT: (028)39691377 Hợp Tác Xã Vận Tải Đức Hòa",Phổ thông - Không trợ giá,36.00 km,25 - 79 chỗ,05:20 - 14:25,"- Vé lượt không trợ giá: 15,000 VNĐ - Vé lượt không trợ giá: 22,000 VNĐ",4 chuyến/ngày,90 phút,167 phút
