csv_code,routeName,operator,transportType,totalDistance,vehicleType,operatingTime,baseFare,numTrips,tripTime,frequency
44,Cảng Quận 4 - Bình Quới,"Công ty Cổ phần Xe khách Phương Trang Futabuslines, ĐT: 1900638494",Phổ thông - Có trợ giá,16.65 km,30 chỗ,05:00 - 22:00,"- Vé lượt trợ giá: 6,000 VNĐ - Vé lượt trợ giá HSSV: 3,000 VNĐ - Vé miễn: 0 VNĐ - Vé tập: 135,000 VNĐ",132 chuyến/ngày,60 phút,10 - 20 phút
45,Đại học Kinh tế - Bến Thành - Bến xe Miền Đông,"Công ty Cổ phần Xe khách Sài Gòn, ĐT: (028)39505505",Phổ thông - Có trợ giá,22.30 km,51 - 68 chỗ,04:45 - 20:00,"- Vé lượt trợ giá: 6,000 VNĐ - Vé lượt trợ giá HSSV: 3,000 VNĐ - Vé miễn: 0 VNĐ - Vé tập: 135,000 VNĐ",140 chuyến/ngày,70 - 80 phút,10 - 15 phút
46,Công viên Tôn Thất Thuyết - Bến Mễ Cốc,"Công ty Cổ phần Xe khách Phương Trang Futabuslines, ĐT: 1900638494",Phổ thông - Có trợ giá,19.75 km,30 chỗ,05:00 - 19:00,"- Vé lượt trợ giá: 6,000 VNĐ - Vé lượt trợ giá HSSV: 3,000 VNĐ - Vé miễn: 0 VNĐ - Vé tập: 135,000 VNĐ",120 chuyến/ngày,65 phút,12 - 15 phút
47,Bến xe buýt Chợ Lớn - Quốc lộ 50 - Hưng Long,"Công ty Cổ phần Xe khách Phương Trang Futabuslines, ĐT: 1900638494",Phổ thông - Có trợ giá,17.30 km,55 chỗ,04:00 - 19:00,"- Vé lượt trợ giá: 6,000 VNĐ - Vé lượt trợ giá HSSV: 3,000 VNĐ - Vé miễn: 0 VNĐ - Vé tập: 135,000 VNĐ",132 chuyến/ngày,50 phút,10 - 14 phút
48,Bến xe buýt Tân Phú - Chợ Hiệp Thành,"Công ty Cổ phần Xe khách Phương Trang Futabuslines, ĐT: 1900638494",Phổ thông - Có trợ giá,21.00 km,30 chỗ,04:30 - 20:00,"- Vé lượt trợ giá: 6,000 VNĐ - Vé lượt trợ giá HSSV: 3,000 VNĐ - Vé miễn: 0 VNĐ - Vé tập: 135,000 VNĐ",120 chuyến/ngày,55 phút,10 - 20 phút
50,Đại học Bách khoa - Đại học Quốc gia,"Công ty Cổ phần Xe khách Sài Gòn, ĐT: (028)39505505",Phổ thông - Có trợ giá,26.00 km,51 chỗ,05:30 - 18:30,"- Vé lượt trợ giá: 7,000 VNĐ - Vé lượt trợ giá HSSV: 3,000 VNĐ - Vé tập: 157,500 VNĐ",96 chuyến/ngày,65 phút,10 - 25 phút
51,Ben Xe Mien Dong Binh Hung Hoa,,Phổ thông - Có trợ giá,,,,,,,
52,Bến Thành - Đại học Quốc gia,"Công ty Cổ phần Xe khách Sài Gòn, ĐT: (028)39505505",Phổ thông - Có trợ giá,22.53 km,47 - 51 chỗ,05:10 - 18:15,"- Vé lượt trợ giá: 6,000 VNĐ - Vé lượt trợ giá HSSV: 3,000 VNĐ - Vé tập: 135,000 VNĐ",80 chuyến/ngày,70 phút,10 - 30 phút
53,Lê Hồng Phong - Đại học Quốc gia,"Hợp tác xã vận tải xe buýt Quyết Thắng, ĐT: (028)38.642.712",Phổ thông - Có trợ giá,32.80 km,55 chỗ,05:00 - 19:30,"- Vé lượt trợ giá: 7,000 VNĐ - Vé lượt trợ giá HSSV: 3,000 VNĐ - Vé tập: 157,500 VNĐ",200 chuyến/ngày,75 phút,4 - 14 phút
54,Ben Xe Mien Dong Ben Xe Cho Lon,Hợp tác xã vận tải và du lịch Đông Nam,Phổ thông - Có trợ giá,"14,45",39 - 80 chỗ,04:00 - 20:00,"- Vé lượt trợ giá: 7,000 VNĐ - Vé lượt trợ giá HSSV: 3,000 VNĐ - Vé tập: 157,500 VNĐ",200 chuyến/ngày,50 - 55 phút,8 - 15 phút
