Key,RouteNo,RouteName,RouteVarShortName,StartStop,EndStop,Outbound,RunningTime
135_1,95,Lượt đi: Bến xe Miền Đông - Khu Công nghiệp Tân Bình,KCN Tân Bình,Bến xe Miền Đông,Khu công nghiệp Tân Bình,TRUE,65
135_1,95,Lượt về: Khu Công nghiệp Tân Bình - Bến xe Miền Đông,Bến xe Miền Đông,Khu công nghiệp Tân Bình,Bến xe Miền Đông,FALSE,65
136_1,96,Lượt đi,Chợ Bình Điền,TĐH xe buýt Sài Gòn,Chợ Đầu mối Bình Điền,TRUE,55
136_1,96,Lượt về,Bến Thành,Chợ Đầu mối Bình Điền,TĐH xe buýt Sài Gòn,FALSE,55
137_1,99,Lượt đi,Đại học Quốc gia,Chợ Thạnh Mỹ Lợi,Bến Xe Buýt ÐH Quốc Gia,TRUE,65
137_1,99,Lượt về,Chợ Thạnh Mỹ Lợi,Bến Xe Buýt ÐH Quốc Gia,Chợ Thạnh Mỹ Lợi,FALSE,65
156_1,C010,Lượt đi,KCN Hiệp Phước,Bãi Xe Phổ Quang,Công ty Hồng Anh,TRUE,75
156_1,C010,Lượt về,Phổ Quang,Công ty Hồng Anh,Bãi Xe Phổ Quang,FALSE,75
178_1,127,Lượt đi: An Thới Đông - Bà Xán,Ngã ba Bà Xán,An Thới Đông,Bà Xán,TRUE,40
178_1,127,Lượt về: Bà Xán - An Thới Đông,An Thới Đông,Bà Xán,An Thới Đông,FALSE,40
179_1,128,Lượt đi: Tân Điền - An Nghĩa,An Nghĩa,Tân Điền,An Nghĩa,TRUE,60
179_1,128,Lượt về: An Nghĩa - Tân Điền,Tân Điền,An Nghĩa,Tân Điền,FALSE,60
197_1,119,Lượt đi: Sân bay Tân Sơn Nhất - Bến xe Miền Tây,Bến xe Miền Tây,Sân bay Tân Sơn Nhất,Bến xe Miền Tây,TRUE,65
197_1,119,Lượt về: Bến xe Miền Tây - Sân bay Tân Sơn Nhất,Sân bay Tân Sơn Nhất,Bến xe Miền Tây,Sân bay Tân Sơn Nhất,FALSE,65
199_1,109,TĐH xe buýt Sài Gòn - Sân bay Tân Sơn Nhất,Công viên 23/9,TĐH xe buýt Sài Gòn,Sân bay Tân Sơn Nhất,FALSE,45
199_1,109,Sân bay Tân Sơn Nhất - TĐH xe buýt Sài Gòn,Sân bay Tân Sơn Nhất,Sân bay Tân Sơn Nhất,TĐH xe buýt Sài Gòn,TRUE,45
