RouteKey,VariantNumber,AddressNo,Code,Lat,Lng,Name,Routes,Search,Status,StopID,StopType,Street,hasRamp,isWheelChair
133_1,265,Ngân hàng Vietcombank,QTD 169,10.871.597,106.769.643,Vietcombank,"19, 33, 50, 53, 93",V NhV Ql1,Đang khai thác,1002083,Trụ dừng,Quốc lộ 1,No,No
133_1,265,Cổng nghĩa trang thành phố,QTD 170,10.870.507,106.773.039,Nghĩa trang TP,"19, 33, 50, 93",NtT Cnttp Ql1,Đang khai thác,1002084,Nhà chờ,Quốc lộ 1,No,No
133_1,265,Đối diện 665,QTD 171,10.869.306,106.776.724,ĐH Kinh tế Luật,"104, 19, 33, 50, 93",DKtL Dd665 Ql1,Đang khai thác,1001040,Nhà chờ,Quốc lộ 1,No,No
133_1,265,Công ty điện tử Samsung,QTD 172,10.868.691,106.778.656,Công ty điện tử Samsung,"104, 19, 33, 50, 93",CtdtS CtdtS Ql1,Đang khai thác,1001041,Nhà chờ,Quốc lộ 1,No,No
133_1,265,Cột điện SI 2,QTD 173,10.867.122,106.787.277,ĐH Nông Lâm,"104, 19, 33, 50, 93",DNL CdS2 Ql1,Đang khai thác,1001042,Nhà chờ,Quốc lộ 1,No,No
133_1,265,Bến xe buýt ĐH Nông Lâm,BX73,10.868.183.135.986,10.678.744.506.836,Đại học Nông Lâm,"06, 104, 89, 93",DhNL BxbDNL Ql1,Đang khai thác,100394,Bến xe,Quốc lộ 1,Yes,Yes
133_1,266,Bến xe buýt ĐH Nông Lâm,BX73,10.868.183.135.986,10.678.744.506.836,Đại học Nông Lâm,"06, 104, 89, 93",DhNL BxbDNL Ql1,Đang khai thác,200394,Bến xe,Quốc lộ 1,Yes,Yes
133_1,266,Kế 21,QTD 181,10.867.404,106.787.265,ĐH Nông Lâm,"104, 19, 33, 50, 53, 93",DNL K21 Ql1,Đang khai thác,2001101,Nhà chờ,Quốc lộ 1,No,No
133_1,266,Kế 59/6,QTD 182,10.867.867,106.782.201,Công ty điện tử Samsung,"104, 19, 33, 50, 93",CtdtS K59/6 Ql1,Đang khai thác,2001102,Trụ dừng,Quốc lộ 1,No,No
133_1,266,Đại học Kinh tế -Luật,QTD 183,10.869.274,106.777.909,Đại học Kinh tế -Luật,"104, 19, 33, 50, 93",DhKt-Luat DhKt-Luat Ql1,Đang khai thác,2001103,Trụ dừng,Quốc lộ 1,No,No
